"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","Wang Y,Yu X,Yu C,Fan Z","Improved Motion Planning Algorithms Based on Rapidly-Exploring Random Tree: A Review","","2023","","","1–8","Association for Computing Machinery","New York, NY, USA","Proceedings of the 8th International Conference on Communication and Information Processing","Beijing, China","2023","9781450397100","","https://doi.org/10.1145/3571662.3571663;http://dx.doi.org/10.1145/3571662.3571663","10.1145/3571662.3571663","This paper mainly summarizes and introduces the improvements proposed by scholars at home and abroad in recent years for the application of Rapidly-exploring Random Tree in robot arms. This paper first briefly introduces the existing path planning algorithms and expounds their advantages and disadvantages. Then the principle and process of Rapidly-exploring Random Tree are described and the RRT algorithm in three-dimensional space is simulated and analyzed. Next, the improved RRT algorithm proposed by domestic and foreign researchers is classified, analyzed and explained. Finally, the whole article is summarized and the direction of future development and research of manipulator motion planning algorithms is prospected.","manipulator, path planning, RRT algorithm, improved RRT algorithm","","ICCIP '22"
"Conference Paper","Mikaiel A,Miao L","Implementation of a Self-Balancing Robot Using LEGO EV3 Robotic Kit and EV3DEV","","2018","","","154–158","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd International Conference on Advances in Image Processing","Chengdu, China","2018","9781450364607","","https://doi.org/10.1145/3239576.3239624;http://dx.doi.org/10.1145/3239576.3239624","10.1145/3239576.3239624","This paper discusses an educational project, in which we use LEGO Mindstorms EV3 and embedded programming to implement a self-balancing and line-following robot. In particular, we use the open source EV3DEV programming environment to write Python programs to get data from the sensors and control the motors. The benefit of our approach is that the students can solely focus on implementing the required PID controller and the corresponding parameter tuning, without the need of having to do mechanical and electrical design. We explain in the paper in details about the system setup, software development, and testing and verification. The outcomes of this paper can be very helpful to other educational and research projects that utilize the Lego EV3 robotic kits for learning and discovery purposes.","PID, EV3DEV, robotics, Embedded Software, LEGO Mindstorms EV3","","ICAIP '18"
"Conference Paper","Tarapore D,Christensen AL,Lima PU,Carneiro J","Abnormality Detection in Multiagent Systems Inspired by the Adaptive Immune System","","2013","","","23–30","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 2013 International Conference on Autonomous Agents and Multi-Agent Systems","St. Paul, MN, USA","2013","9781450319935","","","","Fault tolerance is one of the most prominent challenges in the field of multirobot systems. The efficient and long term operation of a robot collective requires an accurate detection and accommodation of abnormally behaving robots. Most of the existing fault tolerant systems prescribe a characterization of normal behavior, and train a model to recognize them. Behaviors not recognized by the model are labelled abnormal. However, these models require a priori knowledge of the normal behavior. Furthermore, multirobot systems employing these models do not transition well to scenarios involving temporal changes to normal behavior. We propose to address this challenging problem by taking inspiration from the regulation of tolerance and (auto)immunity in the adaptive immune system. We adopt the Crossregulation model, used to explain the robust immunological maintenance of tolerance, and deploy it within a multiagent system. Results of extensive simulation-based experiments demonstrate that a distributed multiagent system can detect abnormalities under varying conditions of normal behaviors. The collective dynamics gives rise to a meaningful normal-abnormal classification of the behavior by individual agents, even if these categories were not prescribed a priori in the agents.","decentralized control, multirobot systems, swarm robotics, crossregulation model, fault detection","","AAMAS '13"
"Conference Paper","Forman J,Tabb T,Do Y,Yeh MH,Galvin A,Yao L","ModiFiber: Two-Way Morphing Soft Thread Actuators for Tangible Interaction","","2019","","","1–11","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","Glasgow, Scotland Uk","2019","9781450359702","","https://doi.org/10.1145/3290605.3300890;http://dx.doi.org/10.1145/3290605.3300890","10.1145/3290605.3300890","Despite thin-line actuators becoming widely adopted in different Human-Computer Interaction (HCI) contexts, including integration into fabrics, paper art, hinges, soft robotics, and human hair, accessible line-based actuators are very limited beyond shape memory alloy (SMA) wire and motor-driven passive tendons. In this paper, we introduce a novel, yet simple and accessible, line-based actuator. ModiFiber is a twisted-then-coiled nylon thread actuator with a silicone coating. This composite thread actuator exhibits unique two-way reversible shrinking or twisting behaviors triggered by heat or electrical current (i.e., Joule heating). ModiFiber is soft, flexible, safe to operate and easily woven or sewn, hence it has a great potential as an embedded line-based actuator for HCI purposes. In this paper, we explain the material mechanisms and manufacturing approaches, followed by some performance tests and application demonstrations.","artificial muscles, linear actuator, coiled thread actuators, twisting actuator, shrinking actuator, torsional actuator, reversibility, soft actuator, thread actuators","","CHI '19"
"Conference Paper","Atkin K,Licato J,Bringsjord S","Modeling Interoperability between a Reflex and Reasoning System in a Physical Simulation Environment","","2015","","","5–6","Society for Computer Simulation International","San Diego, CA, USA","Proceedings of the Poster Session and Student Colloquium Symposium","Alexandria, Virginia","2015","9781510801035","","","","When modeling the behavior of a cognitive agent in either a simulation or a real-world robotics scenario, often a choice must be made between two types of processes: an explicit, typically slow, and deliberative mode of reasoning; and a quick, automatic reflex system. This roughly corresponds to several well-known distinctions in the cognitive-psychology literature: System 1 vs. System 2, explicit vs. implicit, etc. However, the complex interaction between these processes is not sufficiently explored in computational simulations. We present PAGI (Psychometric Artificial General Intelligence) World, an open-sourced simulation environment that can represent both types of processes, and we discuss how the higher-level reasoning processes can interact with the lower-level reflexes of a cognitive agent, in such a way as to complement each other. We explain motivations for this interactivity, and describe our system for addressing it.","physics, unity, PAGI world, reflexes, DCEC","","Posters '15"
"Conference Paper","Chakraborti T,Sreedharan S,Kambhampati S","Explicability versus Explanations in Human-Aware Planning","","2018","","","2180–2182","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems","Stockholm, Sweden","2018","","","","","Human aware planning requires an agent to be aware of the mental model of the human in the loop during its decision process. This can involve generating plans that are explicable to the human as well as the ability to provide explanations when such plans cannot be generated. In this paper, we bring these two concepts together and show how an agent can account for both these needs and achieve a trade-off during the plan generation process itself by means of a model-space search method MEGA*. This provides a revised perspective of what it means for an AI agent to be ""human-aware"" by bringing together recent works on explicable planning and plans explanations under the umbrella of a single plan generation process. We illustrate these concepts using a robot involved in a typical search and reconnaissance task with an external supervisor.","plan explanations, human-aware planning, model reconciliation, argumentation, plan explicability","","AAMAS '18"
"Conference Paper","Ren Y,Cedeno-Mieles V,Hu Z,Deng X,Adiga A,Barrett C,Ekanayake S,Goode BJ,Korkmaz G,Kuhlman CJ,Machi D,Marathe MV,Ramakrishnan N,Ravi SS,Saraf P,Self N,Contractor N,Epstein J,Macy MW","Generative Modeling of Human Behavior and Social Interactions Using Abductive Analysis","","2020","","","413–420","IEEE Press","Barcelona, Spain","Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining","","2020","9781538660515","","","","Abduction is an inference approach that uses data and observations to identify plausible (and preferably, best) explanations for phenomena. Applications of abduction (e.g., robotics, genetics, image understanding) have largely been devoid of human behavior. Here, we devise and execute an iterative abductive analysis process that is driven by the social sciences: behaviors and interactions among groups of human subjects. One goal is to understand intra-group cooperation and its effect on fostering collective identity. We build an online game platform; perform and analyze controlled laboratory experiments; form hypotheses; build, exercise, and evaluate network-based agent-based models; and evaluate the hypotheses in multiple abductive iterations, improving our understanding as the process unfolds. While the experimental results are of interest, the paper's thrust is methodological, and indeed establishes the potential of iterative abductive looping for the (computational) social sciences.","","","ASONAM '18"
"Conference Paper","Dau HA,Keogh E","Matrix Profile V: A Generic Technique to Incorporate Domain Knowledge into Motif Discovery","","2017","","","125–134","Association for Computing Machinery","New York, NY, USA","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","Halifax, NS, Canada","2017","9781450348874","","https://doi.org/10.1145/3097983.3097993;http://dx.doi.org/10.1145/3097983.3097993","10.1145/3097983.3097993","Time series motif discovery has emerged as perhaps the most used primitive for time series data mining, and has seen applications to domains as diverse as robotics, medicine and climatology. There has been recent significant progress on the scalability of motif discovery. However, we believe that the current definitions of motif discovery are limited, and can create a mismatch between the user's intent/expectations, and the motif discovery search outcomes. In this work, we explain the reasons behind these issues, and introduce a novel and general framework to address them. Our ideas can be used with current state-of-the-art algorithms with virtually no time or space overhead, and are fast enough to allow real-time interaction and hypotheses testing on massive datasets. We demonstrate the utility of our ideas on domains as diverse as seismology and epileptic seizure monitoring.","time series, interactive data mining, matrix profile, motif discovery","","KDD '17"
"Conference Paper","Liao YC,Todi K,Acharya A,Keurulainen A,Howes A,Oulasvirta A","Rediscovering Affordance: A Reinforcement Learning Perspective","","2022","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems","New Orleans, LA, USA","2022","9781450391573","","https://doi.org/10.1145/3491102.3501992;http://dx.doi.org/10.1145/3491102.3501992","10.1145/3491102.3501992","Affordance refers to the perception of possible actions allowed by an object. Despite its relevance to human–computer interaction, no existing theory explains the mechanisms that underpin affordance-formation; that is, how affordances are discovered and adapted via interaction. We propose an integrative theory of affordance-formation based on the theory of reinforcement learning in cognitive sciences. The key assumption is that users learn to associate promising motor actions to percepts via experience when reinforcement signals (success/failure) are present. They also learn to categorize actions (e.g., “rotating” a dial), giving them the ability to name and reason about affordance. Upon encountering novel widgets, their ability to generalize these actions determines their ability to perceive affordances. We implement this theory in a virtual robot model, which demonstrates human-like adaptation of affordance in interactive widgets tasks. While its predictions align with trends in human data, humans are able to adapt affordances faster, suggesting the existence of additional mechanisms.","Theory, Robotics, Reinforcement Learning, Adaptation, Perception, Machine Learning, Action, Interaction, Motion Planning, Design, Modeling, Affordance","","CHI '22"
"Conference Paper","Paradeda RB,Martinho C,Paiva A","Persuasion Strategies Using a Social Robot in an Interactive Storytelling Scenario","","2020","","","69–77","Association for Computing Machinery","New York, NY, USA","Proceedings of the 8th International Conference on Human-Agent Interaction","Virtual Event, USA","2020","9781450380546","","https://doi.org/10.1145/3406499.3415084;http://dx.doi.org/10.1145/3406499.3415084","10.1145/3406499.3415084","The behaviour of a person in a given situation can be explained understanding his personality traits. In this sense, the identification of these traits can be a great value to achieve personalised social influence. Although there are several models of persuasion, few of them take into account the person's personality traits. For this reason, this work describes a persuasion study that takes into account a person's personality. We develop a storytelling decision-making scenario, where the participant receives influencing messages to follow a pattern of behaviour determined by a persuasive agent (an autonomous social robot with assertive behaviour). From the study, we find evidence that the model used within the proposed scenario managed to make participants more engaged in the activity. We found pieces of evidence that the levels of assertiveness of a person can influence their attitude and perception by an agent. Also, we identify that persuasion strategy which uses persuasive arguments are more efficient than strategies that have no arguments. Finally, our proposed persuasion strategies have achieved a good level of successful influence.","persuasion, human-robot interaction, storytelling, mbti, personality","","HAI '20"
"Conference Paper","Puranic A,Deshmukh J,Nikolaidis S","Poster Abstract: Learning from Demonstrations with Temporal Logics","","2022","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 25th ACM International Conference on Hybrid Systems: Computation and Control","Milan, Italy","2022","9781450391962","","https://doi.org/10.1145/3501710.3524914;http://dx.doi.org/10.1145/3501710.3524914","10.1145/3501710.3524914","Learning-from-demonstrations (LfD) is a popular paradigm to obtain effective robot control policies for complex tasks via reinforcement learning without the need to explicitly design reward functions. However, it is susceptible to imperfections in demonstrations and also raises concerns of safety and interpretability in the learned control policies. To address these issues, we propose to use Signal Temporal Logic (STL) to express high-level robotic tasks and use its quantitative semantics to evaluate and rank the quality of demonstrations. Temporal logic-based specifications allow us to create non-Markovian rewards, and are also capable of defining interesting causal dependencies between tasks such as sequential task specifications. We present our completed work that proposed LfD-STL framework that learns from even suboptimal/imperfect demonstrations and STL specifications to infer rewards for reinforcement learning tasks. We have validated our approach through various experimental setups to show how our method outperforms prior LfD methods. We then discuss future directions for tackling the problem of explainability and interpretability in such learning-based systems.","temporal logic, demonstrations, imitation, reinforcement learning, reward inference","","HSCC '22"
"Conference Paper","Abrams AM,Dautzenberg PS,Jakobowsky C,Ladwig S,Rosenthal-von der Pütten AM","A Theoretical and Empirical Reflection on Technology Acceptance Models for Autonomous Delivery Robots","","2021","","","272–280","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction","Boulder, CO, USA","2021","9781450382892","","https://doi.org/10.1145/3434073.3444662;http://dx.doi.org/10.1145/3434073.3444662","10.1145/3434073.3444662","In this work, we provide an argument and first empirical insights that existing technology acceptance models fall short when it comes to explaining spontaneous, unplanned and unsolicited encounters between humans and delivery robots on the street. Since technology acceptance models have been defined by the technology's perceived ease of use, perceived usefulness and behavioural intention to use, they are not well suited to explain acceptance in situations in which humans meet robots without any prior intention to use. Nevertheless, acceptance of delivery robots might be a driving force for safe navigation. Thus, the concept of acceptance should not be limited to its current focus on (planned) usage. In consequence, we i) expand the understanding of technology acceptance, ii) propose the concept of Existence Acceptance for autonomous systems, and iii) explore a new model for acceptance in an online study (n = 185). Theoretical considerations hint towards the relevance of existence acceptance models for autonomous systems.","incops, ea, technology acceptance model, autonomous vehicle, acceptance, technology acceptance, autonomous robot, existence acceptance, delivery robot, tam","","HRI '21"
"Conference Paper","Rodríguez A,Rutle A,Kristensen LM,Durán F","A Foundation for the Composition of Multilevel Domain-Specific Languages","","2021","","","88–97","IEEE Press","Munich, Germany","Proceedings of the 22nd International Conference on Model Driven Engineering Languages and Systems","","2021","9781728151250","","https://doi.org/10.1109/MODELS-C.2019.00018;http://dx.doi.org/10.1109/MODELS-C.2019.00018","10.1109/MODELS-C.2019.00018","In this paper, we provide a foundation for the definition and composition of multilevel domain-specific modelling languages. We will introduce modularization techniques such as composition, aggregation and referencing to enhance flexibility and reusability of these languages. To explain this foundation, we use Coloured Petri Nets (CPN) as a paradigmatic case study and define two CPN variants motivated by industrial collaboration projects: one used for the definition of protocols and the other one for robot controllers.","model-driven software engineering, coloured petri nets, multilevel modelling, model transformations","","MODELS '19"
"Conference Paper","Park B,Lee CG","System Optimization of ROS-Based Open Source Autonomous Driving Platform on Embedded Board Environment","","2023","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 6th International Conference on Algorithms, Computing and Systems","Larissa, Greece","2023","9781450397407","","https://doi.org/10.1145/3564982.3565000;http://dx.doi.org/10.1145/3564982.3565000","10.1145/3564982.3565000","The open-source robot operating system(ROS) is being studied in complex system such as autonomous driving. Many studies have made efforts to port real-time to ROS for complex systems based on ROS. However, these methods are not user-friendly because they are difficult to use and require complicated procedures. For that, we pay attention to the system's response time and explain how to reduce the response time. Finally, we reveal how much our approach improved ROS performance through experiments.","System Profiling, ROS, Optimization, Autonomous Driving","","ICACS '22"
"Conference Paper","Wen R,Han Z,Williams T","Teacher, Teammate, Subordinate, Friend: Generating Norm Violation Responses Grounded in Role-Based Relational Norms","","2022","","","353–362","IEEE Press","Sapporo, Hokkaido, Japan","Proceedings of the 2022 ACM/IEEE International Conference on Human-Robot Interaction","","2022","","","","","Language-capable robots require moral competence, including representations and algorithms for moral reasoning and moral communication. We argue for an ethical pluralist approach to moral competence that leverages and combines disparate ethical frameworks, and specifically argue for an approach to moral competence that is grounded not only in Deontological norms (as is typical in the HRI literature) but also in Confucian relational roles. To this end, we introduce the first computational approach that centers relational roles in moral reasoning and communication, and demonstrate the ability of this approach to generate both context-oriented and role-oriented explanations for robots' rejections of norm-violating commands, which we justify through our pluralist lens. Moreover, we provide the first investigation of how computationally generated role-based explanations are perceived by humans, and empirically demonstrate (N=120) that the effectiveness (in terms of of trust, understanding confidence, and perceived intelligence) of explanations grounded in different moral frameworks is dependent on nuanced mental modeling of human interlocutors.","moral communication, robot ethics, confucian ethics","","HRI '22"
"Conference Paper","Strait M,Urry HL,Muentener P","Children's Responding to Humanlike Agents Reflects an Uncanny Valley","","2020","","","506–515","IEEE Press","Daegu, Republic of Korea","Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction","","2020","9781538685556","","","","Both perceptual mechanisms (e.g., threat detection/avoidance) and social mechanisms (e.g., fears fostered via negative media) may explain the existence of the uncanny valley; however, existing literature lacks sufficient evidence to decide whether one, the other, or a combination best accounts for the valley's effects. As perceptually oriented explanations imply the valley should be evident early in development, we investigated whether it presents in the responding of children (N = 80; ages 5 --10) to agents of varying human similarity. We found that, like adults, children were most averse to highly humanlike robots (relative to less humanlike robots and humans). But, unlike adults, children's aversion did not translate to avoidance. The findings thus indicate, consistent with perceptual explanations, that the valley effect manifests well before adulthood. However, further research is needed to understand the emergence of the valley's behavioral consequences.","agency, uncanny valley, humanoids, cognitive development, child-robot interaction, anthropomorphism","","HRI '19"
"Conference Paper","Werkhoven P,Kester L,Neerincx M","Telling Autonomous Systems What to Do","","2018","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 36th European Conference on Cognitive Ergonomics","Utrecht, Netherlands","2018","9781450364492","","https://doi.org/10.1145/3232078.3232238;http://dx.doi.org/10.1145/3232078.3232238","10.1145/3232078.3232238","Recent progress in Artificial Intelligence, sensing and network technology, robotics, and (cloud) computing has enabled the development of intelligent autonomous machine systems. Telling such autonomous systems ""what to do"" in a responsible way, is a non-trivial task. For intelligent autonomous machines to function in human society and collaborate with humans, we see three challenges ahead affecting meaningful control of autonomous systems. First, autonomous machines are not yet capable of handling failures and unexpected situations. Providing procedures for all possible failures and situations is unfeasible because the state-action space would explode. Machines should therefore become self-aware (self-assessment, self-management) enabling them to handle unexpected situations when they arise. This is a challenge for the computer science community. Second, in order to keep (meaningful) control, humans come into a new role of providing intelligent autonomous machines with objectives or goal functions (including rules, norms, constraints and moral values), specifying the utility of every possible outcome of actions of autonomous machines. Third, in order to be able to collaborate with humans, autonomous systems will require an understanding of (us) humans (i.e., our social, cognitive, affective and physical behaviors) and the ability to engage in partnership interactions (such as explanations of task performances, and the establishment of joint goals and work agreements). These are new challenges for the cognitive ergonomics community.","autonomous systems, control, Cognitive ergonomics","","ECCE '18"
"Conference Paper","Qi X,Wang W,Liao Z,Zhang X,Xue L,Zhang X,Li J,Fang T,Wei R","Robot Teaching Assistant and Physical Programming Class for Programming Education of Young Children","","2021","","","55–62","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 1st International Conference on Control, Robotics and Intelligent System","Xiamen, China","2021","9781450388054","","https://doi.org/10.1145/3437802.3437812;http://dx.doi.org/10.1145/3437802.3437812","10.1145/3437802.3437812","This paper proposes a programming class for young children. In order to reduce the burden on teachers and attract students' interest, a robot teaching assistant is used to explain programming knowledge, verify and run programs. Different from writing programs on a computer, the physical board programming is employed to develop logical thinking of young children and prevent them from the vision harm of facing computer screens for a long time and the lack of reality from immersion in the virtual world. Based on the knowledge points of programming, we have designed a course with 16 lessons. The course has been successfully applied in many kindergartens and elementary schools. We use the questionnaires for students and teachers to evaluate the course and the experimental results show that it is effective.","Robot teaching assistant, Programming education, Physical programming","","CCRIS '20"
"Conference Paper","Hayakawa H,Fernando CL,Saraiji MY,Minamizawa K,Tachi S","Telexistence Drone: Design of a Flight Telexistence System for Immersive Aerial Sports Experience","","2015","","","171–172","Association for Computing Machinery","New York, NY, USA","Proceedings of the 6th Augmented Human International Conference","Singapore, Singapore","2015","9781450333498","","https://doi.org/10.1145/2735711.2735816;http://dx.doi.org/10.1145/2735711.2735816","10.1145/2735711.2735816","In this paper, a new sports genre, ""Aerial Sports"" is introduced where the humans and robots collaborate to enjoy space as a whole new field. By integrating a flight unit with the user's voluntary motion, everyone can enjoy the crossing physical limitations such as height and physique. The user can dive into the drone by wearing a HMD and experience the provided binocular stereoscopic visuals and sensation of flight using his limbs effectively. In this paper, the requirements and design steps for a Synchronization of visual information and physical motion in a flight system is explained mainly for aerial sports experience. The requirements explained in this paper can be also adapted to the purpose such as search and rescue or entertainment purposes where the coupled body motion has advantages.","augmented sports, virtual reality, drone telexistence, aerial sports, flight experience","","AH '15"
"Conference Paper","Watanabe H,Tanigawa I,Sugaya M,Ogura N,Hisazumi K","A Layer-Structure Diagram and a Layer-Interaction Diagram towards a Context-Oriented Development Methodology for Embedded Systems","","2016","","","125–130","Association for Computing Machinery","New York, NY, USA","Companion Proceedings of the 15th International Conference on Modularity","Málaga, Spain","2016","9781450340335","","https://doi.org/10.1145/2892664.2892685;http://dx.doi.org/10.1145/2892664.2892685","10.1145/2892664.2892685","The paper introduces new kinds of diagrams for describing organizations and interactions of layers based on context-oriented technology for context-sensitive embedded system developments. The concept of layers is suitable for processing context-aware embedded systems. As mentioned in several related literatures, layer-interactions cause critical problems such as deadlock, collision, and multi-invocation. To comprehend these problems at a high level, diagrams for visualizing relationships among layers are required. In a previous work, we proposed an OS-like architecture based on context-oriented technologies for embedded system development. The layering mechanism of the architecture dispatches or inserts layers with their states for dealing with layer-interaction problems. The goal of this paper is to introduce diagrams that contain notations for relating with the elements of the layering mechanism. To accomplish this, we consider the following issues: (1) the relations between layers, (2) layer-state management, and (3) context management attributes. The diagrams contribute to understanding layer-interaction problems with time delay and mutually exclusive layers. To explain the diagrams, we provide a simple example of an automatic cleaner robot.","Dynamic Program Rewriting, Context-Oriented Programing","","MODULARITY Companion 2016"
"Conference Paper","Karanasiou A,Pinotsis D","Towards a Legal Definition of Machine Intelligence: The Argument for Artificial Personhood in the Age of Deep Learning","","2017","","","119–128","Association for Computing Machinery","New York, NY, USA","Proceedings of the 16th Edition of the International Conference on Articial Intelligence and Law","London, United Kingdom","2017","9781450348911","","https://doi.org/10.1145/3086512.3086524;http://dx.doi.org/10.1145/3086512.3086524","10.1145/3086512.3086524","The paper dissects the intricacies of Automated Decision Making (ADM) and urges for refining the current legal definition of AI when pinpointing the role of algorithms in the advent of ubiquitous computing, data analytics and deep learning. ADM relies upon a plethora of algorithmic approaches and has already found a wide range of applications in marketing automation, social networks, computational neuroscience, robotics, and other fields. Our main aim here is to explain how a thorough understanding of the layers of ADM could be a first good step towards this direction: AI operates on a formula based on several degrees of automation employed in the interaction between the programmer, the user, and the algorithm; this can take various shapes and thus yield different answers to key issues regarding agency. The paper offers a fresh look at the concept of ""Machine Intelligence"", which exposes certain vulnerabilities in its current legal interpretation. Most importantly, it further helps us to explore whether the argument for ""artificial personhood"" holds any water. To highlight this argument, analysis proceeds in two parts: Part 1 strives to provide a taxonomy of the various levels of automation that reflects distinct degrees of Human - Machine interaction and can thus serve as a point of reference for outlining distinct rights and obligations of the programmer and the consumer: driverless cars are used as a case study to explore the several layers of human and machine interaction. These different degrees of automation reflect various levels of complexities in the underlying algorithms, and pose very interesting questions in terms of agency and dynamic tasks carried out by software agents. Part 2 further discusses the intricate nature of the underlying algorithms and artificial neural networks (ANN) that implement them and considers how one can interpret and utilize observed patterns in acquired data. Is ""artificial personhood"" a sufficient legal response to highly sophisticated machine learning techniques employed in decision making that successfully emulate or even enhance human cognitive abilities?","algorithmic agency, personhood hybrids, ANN, machine learning","","ICAIL '17"
"Conference Paper","Lee MJ,Ko AJ,Kwan I","In-Game Assessments Increase Novice Programmers' Engagement and Level Completion Speed","","2013","","","153–160","Association for Computing Machinery","New York, NY, USA","Proceedings of the Ninth Annual International ACM Conference on International Computing Education Research","San Diego, San California, USA","2013","9781450322430","","https://doi.org/10.1145/2493394.2493410;http://dx.doi.org/10.1145/2493394.2493410","10.1145/2493394.2493410","Assessments have been shown to have positive effects on learning in compulsory educational settings. However, much less is known about their effects in discretionary learning settings, especially in computing education and educational games. We hypothesized that adding assessments to an educational computing game would provide extra opportunities for players to practice and correct misconceptions, thereby affecting their performance on subsequent levels and their motivation to continue playing. To test this, we designed a game called Gidget, in which players help a robot find and fix defects in programs that follow a mastery learning paradigm. Across two studies, we manipulated the inclusion of multiple choice and self-explanation assessment levels in the game, measuring their impact on engagement and level completion speed. In our first study, we found that including assessments caused learners to voluntarily play longer and complete more levels, suggesting increased engagement; in our second study, we found that including assessments caused learners to complete levels faster, suggesting increased understanding. These findings suggest that including assessments in a discretionary computing education game may be a key design strategy for improving informal learning of computing concepts.","serious game, debugging, assessment, programming, engagement, educational game, speed","","ICER '13"
"Conference Paper","Salomons N,van der Linden M,Strohkorb Sebo S,Scassellati B","Humans Conform to Robots: Disambiguating Trust, Truth, and Conformity","","2018","","","187–195","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction","Chicago, IL, USA","2018","9781450349536","","https://doi.org/10.1145/3171221.3171282;http://dx.doi.org/10.1145/3171221.3171282","10.1145/3171221.3171282","Asch's [2] conformity experiment has shown that people are prone to adjusting their view to match those of group members even when they believe the answer of the group to be wrong. Previous studies have attempted to replicate Asch's experiment with a group of robots but have failed to observe conformity [7, 25]. One explanation can be made using Hodges and Geyers work [17], in which they propose that people consider distinct criteria (truth, trust, and social solidarity) when deciding whether to conform to others. In order to study how trust and truth affect conformity, we propose an experiment in which participants play a game with three robots, in which there are no objective answers. We measured how many times participants changed their preliminary answers to match the group of robots' in their final answer. We conducted a between-subjects study (N = 30) in which there were two conditions: one in which participants saw the group of robots' preliminary answer before deciding their final answer, and a control condition in which they did not know the robots' preliminary answer. Participants in the experimental condition conformed significantly more (29%) than participants in the control condition (6%). Therefore we have shown that groups of robots can cause people to conform to them. Additionally trust plays a role in conformity: initially, participants conformed to robots at a similar rate to Asch's participants, however, many participants stop conforming later in the game when trust is lost due to the robots choosing an incorrect answer.","trust, human-robot groups, conformity","","HRI '18"
"Journal Article","Terwilliger MG,Jackson JL,Stenger CL,Jerkins JA","Using Computer Programming Activities and Robots to Teach Generalization of a Geometry Concept","J. Comput. Sci. Coll.","2019","34","3","82–90","Consortium for Computing Sciences in Colleges","Evansville, IN, USA","","","2019-01","","1937-4771","","","Computer science and math education researchers have long believed that a symbiotic relationship exists between their disciplines [7]. In fact, in its early days, computer science education programs were often co-located in a math department. Stenger et al. [13] developed an instructional treatment that uses computer programming as an explicit method for teaching abstraction and generalization in the STEM classroom. This instructional strategy uses computer programming to explore the essential characteristics of a mathematical concept and to push learners to advance in levels of abstraction. In this study, results are shown from a professional learning session using computer programming activities, mathematical arguments, and programming on an S2 robot to push middle and high school computer science, math, and science teachers (N=25) to improve their level of generalization over area expansion of a triangle with respect to the expansion of the sides of the triangle. The programming activities served as a laboratory to expose and explain what happened in the minds of learners as they explored and learned to generalize this geometry concept. The researchers used an initial genetic decomposition to evaluate the learner's level of abstraction. Follow up interviews were conducted with 6 participants. The analysis, using APOS as a framework, categorized mathematical behaviors at the Action, Process or Object level. The data demonstrated how computer programming activities influenced teachers' mental images and pushed them to higher levels of abstraction.","","",""
"Conference Paper","Zhao W,He T,Sani AY,Yao T","Review of SLAM Techniques For Autonomous Underwater Vehicles","","2019","","","384–389","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2019 International Conference on Robotics, Intelligent Control and Artificial Intelligence","Shanghai, China","2019","9781450372985","","https://doi.org/10.1145/3366194.3366262;http://dx.doi.org/10.1145/3366194.3366262","10.1145/3366194.3366262","Simultaneous Localization and Mapping (SLAM) is an important method for autonomous positioning and navigation of robots. SLAM application in underwater area has become an active field of research. Firstly, this paper presents the research status of SLAM technology follow by its application on underwater vehicles. Then, the implementation methods and main difficulties of underwater SLAM are explained. Finally, the research trend of underwater SLAM in the future is discussed.","Autonomous Navigation, Underwater Vehicle, Robot, Simultaneous Localization and Mapping (SLAM)","","RICAI '19"
